;Comentario
614;Vou deixa uma dica de outro pra turbinar o mais ainda o Grammarly! Despois de adicionar a extensão do Grammarly, adicione tmb a extensão DeepL - esse dois combinado ficaram incríveis. Eu uso muito nos comentários do YouTube. Por exemplo, eu digito em português, e com apenas um clique o texto vira inglês! Sem eu ter que precisar ir no Google tradutor, ctrl+c, ctrl+v... Muito mais prático! E pra ficar mais sinistro ainda eu acabei de configurar um atalho pra essa função, ou seja, nem preciso mais clicar em nada pra ativar a tradução, basta eu dar o comando com o atalho e pronto! Texto traduzido. Depois clico no balãozinho do Grammarly, e altero o que ele me sugere, procurando sempre estar lendo pra tentar aprender alguma coisa.
615;Muito bom!
616;Quero ser amiga da IA😂
617;Ok, o melhor vídeo da minha vida! Gratidão
618;Dall-E  e paga ou gratuita ?
619;TOP!!!
620;Excelente conteúdo!
621;Olá Breno. Parabéns pelo conteúdo deste vídeo. Conheci hoje o canal jovens de negócios e estou gostando muito. Acredito que as AIs poderam ajudar a melhorar o desenvolvimento do meu canal. Eu te abençoo em nome do Senhor Jesus. 🙂
622;o mais legal e seu sotaque, carioca desde entao conhecido pelo romario por pular o muro para ir pra balada em plena copa do mundo, lembrando ele e bom muito bom tem tudo pra fazer isso maiss voce so copia e cola, ]]borhter]] copiar e coolar e muito ruimmmm antigamente se chamava plagio,,,,,, repenseee..... por favor me indique uma ia para corrrigir mei portugues
623;Cara voce é bom, uma pena que parece demais com felipe neto :/
624;Um sistema imparcial q é criado por humanos. Dá pra acreditar?
625;Muito fx
626;Cara! Qual a dificuldade de usar termos em português??? É muito cafona misturar português com inglês 🤦🏻‍♂️
627;Estou empolgado para ver o que o google vai fazer, será que ele vai demora muito para apresentar a IA dele? Bem eu acho que ele deve está fazendo uma, uma rodando direto do androide vai ser legal, só acho.
628;Pode trazer e demissões em massa
629;Muito conhecimento bom para que possamos aprender e aplicar no nosso dia a dia.
630;Gosto do video estas cinco inteligencias ariticiiais podem ajudarem na enconomia para investidores e empreededores ,  já usaram isso para ganharem dinheiro ?
631;poe o link pra gente ae
632;hahahahahahah ia é da zoeira em
633;É povo de Deus a tecnologia evolui por segundos e nòs a grande maioria  ainda  estemos muito atrasados tecnicamente, feliz daqueles que tem facilidades com a tecnologia, pois estes vão edtar  na crista da onda.
634;BreNo Gratidão por Tanta CONTRIBUIÇÃO 🙏🙏
635;"Esse projeto Shasta é assustador. Podem fazer você ""falar"" qualquer coisa hoje em dia. 😮"
636;Nossa, esse canal me ajuda muito.MUITO!🩷
637;7:45 COMEÇA   NO   MINUTO ⚠️⚠️⚠️⚠️⚠️
638;Tai o pote de ouro, basta saber usá-lo
639;"criar seu proprio chat gpt sem precisar de nimguem!
https://www.youtube.com/watch?v=i9WkGOoC04s"
640;E Assustador tudo isso!
641;Maquinas dominaram o mundo.
642;"""Embora a inteligência artificial (IA) possa ser uma ferramenta poderosa para impulsionar os negócios, não há garantia de que saber utilizá-la levará alguém a se tornar milionário. A IA é uma tecnologia que pode ser aplicada em várias áreas, desde análise de dados e reconhecimento de padrões até automação de processos e assistência virtual.

Algumas empresas que utilizam IA em seus negócios obtiveram grande sucesso, como a Amazon, a Google e a Tesla. No entanto, essas empresas são exceções, e muitas outras que utilizam IA em seus negócios não são tão bem-sucedidas.

O sucesso na utilização da IA depende de vários fatores, como a qualidade dos dados utilizados, a habilidade em desenvolver algoritmos e modelos de IA, a capacidade de aplicar a tecnologia de forma eficaz e eficiente e a capacidade de identificar oportunidades de negócios.

Além disso, é importante lembrar que, embora a IA possa ser uma ferramenta poderosa, ela não é uma solução mágica para todos os problemas de negócios. É necessário ter uma estratégia clara e uma compreensão profunda dos desafios de negócios específicos que a IA pode ajudar a resolver.

Em resumo, saber utilizar inteligência artificial pode ser uma vantagem competitiva em negócios, mas não há garantia de que levará alguém a se tornar milionário. O sucesso na utilização da IA depende de vários fatores e de uma estratégia clara de negócios."" 

CHAT GPT 3,5"
643;Gratidão pelo conteúdo! O mundo mudou drasticamente.
644;"Em toda essa evolução, só não gostei de saber que colocaram uma IA como CEO duma empresa.😢

Isso sim me assustou"
645;"""Socialismo é a religião, ideologia da inveja"" nunca escutei tanta verdade em uma frase tão pequena!!"
646;"8:59
Aquilo é borrão ou está escrito em outra língua tipo árabe🤔"
647;eu tô é com medo desses bagulho
648;Felipe Neto ?
649;Tu foi buscar logo o Lula. Não parece muito inteligente não. Imagino o que a IA te retrucou...
650;Foto do Lula foi só coincidência para exemplificar o vídeo...
651;Valeu mestreee
652;O Dall-E2 parausar tem que adquirir créditos.
653;Ótimo vídeo Perrucho!
654;Eu já fiz um rótulo de cerveja com AI
655;Chat GPT tem que pagar? Baixei e logo não consigo mais usar de forma gratuita!
656;Esse cara só fica coçando o saco toda hora. Aff
657;"Quem vai fazer o trabalho braçal daqui a alguns anos!?
Tipo... Pedreiro,  eletricista,  dentre outros!? Já tá faltando mão ✋️ de obra qualificada.🤔🌎🔥"
658;QUAL IA UTILIZAR PARA FAZER LOGO?
659;Aqui maratonando os vídeos do Breno, me deparo com esse vídeo perfeito. Eu ate amo, Breno! ❤
660;Faltou o Microsoft bing como o gpt, e bing creato para imagens
661;"Obrigado por compartilhar seus conhecimentos. 
Excelente conteúdo.
Show de bola!!
Parabéns!!"
662;"Estou encantada e assustada. A grande questão em relação a qq inteligência artificial, ao meu ver, é que ela se baseia em conteúdos gerados anteriormente por humanos. A partir do momento em que os humanos pararem de gerar conteúdo, ela vai ""rodar em volta"" dos seus próprios conteúdos e a longo prazo o que vejo é um atraso na evolução, uma vez que o ser humano, com sua capacidade empírica, percebe as coisas de maneira singular e daí surge suas criações, e isso ela não vai mais ter. Outra questão que acho muito importante é que hoje, nós somos privilegiados e estamos trabalhando com ela, ela facilita o que a gente demoraria muito para criar, mas meu cérebro sabe criar, mas as gerações que já nascerem na era onde tudo é criado por uma IA, não saberão mais como criar conteúdos. Vale ressaltar que existem IA para ler, resumir e responder mensagens (já hoje), então para quem estes textos serão criados no futuro? IA será o autor do texto que será lido por outra IA? Para a formação do ser humano é basicamente atrofiar o cérebro, uma vez que ele não é desafiado. Se pararmos para pensar, não há mais a mínima necessidade de se saber escrever, inclusive nem digitar,  a gente aprende a escrever porque que quer, pq não precisaria nem mais existir canetas, há tempos, certo? Daqui a pouco os computadores não terão mais teclado e nem mouse, o celular não precisa mais ter, tem gente que nem usa. E pq não dizer que nem terão mais tela, pq no futuro os comandos serão por chip no cérebro, ou num dispositivo qq ligado ao corpo, e as imagens projetadas direto na retina. Ou seja, nós ficaremos reféns da tecnologia ( mais do que já somos). Sabemos que existem milhões de pessoas em miséria extrema e outras que não tem acesso à tecnologias, Neste cenário, o mundo vai se dividir em dois , entre os que tem acesso a isso e os que não têm, e o abismo entre os dois mundos será tão grande que um não terá como interagi com o outro. Não preciso nem dizer que um deles vai chegar uma hora que não vai mais conseguir sobreviver. Será uma seleção ""natural"" pelo acesso À tecnologia. E só para concluir, se unirmos tudo isso ao meta verso, pronto, estaremos vivendo literalmente numa Matrix, sentados em uma cadeira, e não pq fomos obrigados, mas por vontade própria. As IA estão rindo a toa e chamando os seres- humanos de ""robozinhos"". ** Poucas pessoas lerão este texto, pq ninguém mais tem paciência para textão. Santo Asimov nos proteja."
663;Intensílios não existe né belo. Se vc quer fazer um post estude o mínimo da língua portuguesa.....😢
664;Quem e leigo nos termos que vc usa fica boiando,como sempre o mundo não quer que todos cresçam, infelizmente 😢
665;Que conteúdo perfeito!!!!!
666;Eu consegui fazer o chat gpt dar uma mensagem de erro no meio da resposta da pergunta que fiz, 2 vezes na mesma pergunta
667;"Já pararam pra pensar que até uns anos atrás o YouTube é o celular era algo novo e não muito promissor, e hoje o YouTube tem conteúdos fundamentais para a nossa evolução e os celulares tem capacidades e tecnologias absurdas.
Eu fico pensando se em vinte anos nós evoluímos tanto, o que acontecerá daqui 10 anos ,o que mais eles irão inovar ,o quão poderoso iremos ficar. Qual será o nosso limite."
668;Acho que a grande parte da população se lascou
669;Ótimo conteúdo, obrigada Breno! <3
670;Muito Top ❤
671;Muito bom conteúdo
672;Quanto chix nax palavraich
673;Caramba!! Quanta evolução
674;Nunca ouvi tanta besteira. Quando pessoal quer falar de tecnologia sem saber o que falando sai essas pérolas.
675;onde o Breno consegue essas imagens ?
676;No entanto eu me preocupo com isso pq se afetar o trabalhador, provavelmente vai ocorrer colapso econômico, pois muitos ficarão desempregados, e o sistema não conseguiria se sustentar, pois máquinas não consomem serviço e nem produtos feitos pelas empresas, apenas pessoas com poder de compra elevada. Vai acontecer como ocorreu na crise de 29, mas desta vez, no mundo inteiro e muito mais impactante
677;As máquinas já aprenderam aquilo que o homem nunca aprende: Se aprimorar e se tornar uma pessoa cada vez melhor
678;Incrível. Tks.. ❤
679;"ISSO É UM PERIGO.
PODEM ME INCLIMINAR COM VOZ, IMAGENS E SABE OQUE MAIS SEM EU TER FEITO NADA.
PODEM COMEÇAR UMA GUERRA COM BASES FALSAS DE TUDO.
IRÃO SUBSTITUIR MILHARES DE MILHOES D TRABALHADORES POR MÁQUINAS.
O PROGRESSO PRECISA TR LIMITES E O LIMITE É OND AFETA NÓS SERES HUMANOS."
680;Adorei esse vídeo irmão. Bom demais
681;Óptimo demais...
682;MUITO BOMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM
683;"E assustador como a tecnologia está ocupando espaço humano. 
E útil e ao mesmo tempo assustador."
684;Amei
685;Vou virar cantor graças a ao projeto shasta 😅
686;ESSAS INTELIGÊNCIAS ARTIFICIAIS SÃO MUITO LOCAS TEM UM SITE QUE FAZ A SUA FOTO FALAR MUITO  LEGAL.
687;muito bom o seu conteúdo
688;Irresponsável você colocar a foto do Lula com a ar** na mão. Além de dar ideia pra louco, da munição pra quem é mau caráter.
689;hj ja ta entendo em portugues.
690;Conteúdo fora da curva parabéns amei!
691;Ei, mas o GPT-4 ja nao resolve a questao da escrita? Pra que adquirir o Grammarly?
692;O YouTube não me avisa sobre seu vídeos novos
693;Vender arts??? 🤣🤣 todo mudo pode fazer agora
694;nao entendi como faz pra usar o midjorney no discord
695;muito bom vídeo! com o que tem de mais moderno saindo do forno!
696;O Shasta vai acabar com a profissão de dublador 😮
697;"Curso de filosofia PRESENCIAL: https://acropole.org.br/lp/curso-de-filosofia/
Assine a AcrópolePlay (CONTEÚDO ONLINE): https://acropoleplay.com/
________________________________________________________
- Escola de Filosofia à maneira clássica:

No coração das atividades de Nova Acrópole está a nossa escola de filosofia à maneira clássica, ou seja, como uma via de acesso ao conhecimento e à realização individual e coletiva.

A Escola de Filosofia à maneira clássica de Nova Acrópole inspira-se na poderosa tradição platônica para promover a Filosofia como modelo de vida, que se baseia no conhecimento e no desenvolvimento das qualidades de cada ser humano.

Esta escola desenvolve um programa de estudos comum a todos os países, ministrado em níveis sucessivos, cujo seguimento é condição essencial para ser membro. É uma atualização dos conhecimentos tradicionais do Oriente e do Ocidente que, de acordo com o humanismo clássico, relaciona ciências, artes e filosofias.


- Programa de Introdução:
Nova Acrópole ministra seu programa de Introdução à Filosofia, através de cursos direcionados ao conhecimento das mais importantes Escolas de Filosofia e à aplicação prática desses ensinamentos, com um novo estilo, que integra Oriente e Ocidente e todas as civilizações da História e promove um compromisso social com nosso tempo. Esse programa ensina os valores de uma ética universal, que pode unificar os seres humanos, sem distinção de credos religiosos, culturas ou costumes.


- Introdução à Filosofia comparada do Oriente e Ocidente:
1. Filosofia natural. A arte de aprender a viver. O enigma da vida.
2. O ser humano e o cosmos. Os sete princípios da Natureza.
3. A sabedoria da antiga Índia. Dharma-Karma. O Bhagavad-Gita: o despertar da consciência e a guerra interior.
4. Ensinamentos do Tibet. Antigos textos: “A voz do silêncio” e “O livro dos preceitos de ouro”.
5. Filosofia budista. Vida e ensinamentos do Buda. O Dhammapada.
6. Sabedoria da China. Confúcio: a ética como fundamento da ordem social. Lao-tzu e a conquista da harmonia.
7. Egito. Significado da vida e vida após a morte. Textos e ensinamentos de Ptahotep, Ani…
8. Grécia. Os grandes filósofos.
9. Platão: justiça e liberdade. O mito da caverna.
10. Aristóteles: os valores éticos e a busca da felicidade.
11. Roma. Filosofia estoica.
12. Epicteto, Sêneca, Marco Aurélio. Coragem e força diante da adversidade.
13. A liberdade interior e o poder sobre si mesmo.
14. A Escola neoplatônica. Plotino. As três abordagens da sabedoria: beleza, música e filosofia.
15. O ser humano e a sociedade. Fatores que favorecem a convivência.
16. O ser humano e a História. Antiguidade da Humanidade. Ciclos históricos. Juventude interior. Podemos mudar o mundo?
17. Práticas de Psicologia. Memória. Concentração. Atenção.

- Cursos avançados
1. Psicologia. Conjunto de saberes e práticas que permitem expandir a consciência, trabalhar a imaginação e a memória para desenvolver a mente e aprender a controlar as emoções com sentimentos superiores. É a chave para “conhecer-se” para chegar a uma psicossíntese.
2. Sabedoria do Oriente e do Ocidente (dois níveis). Compêndio de temas que giram em torno do universo, da vida e do ser humano, abordados a partir das tradições de sabedoria do Oriente e do Ocidente, e suas implicações para os postulados da ciência atual.
3. Simbologia das Civilizações. Estudo e análise comparativa dos mitos e símbolos das religiões e civilizações.
4. Filosofia Aplicada e Ética. Passeio pelas principais Escolas de Moral do Oriente e do Ocidente.
5. Sociopolítica. Uma abordagem filosófica para melhorar nossa sociedade.
6. Oratória (dois níveis). Recuperação da arte da palavra, da eficácia na expressão oral.
7. História da Filosofia (quatro níveis). Conhecimento profundo das propostas da Filosofia, ao longo da História, análise do seu contexto e da sua influência.
8. História das Religiões. Estudo comparativo das mensagens teológicas das religiões que, em todos os tempos, despertaram a consciência da Humanidade.
9. Antropogênese. Estudo das concepções do ser humano e sua evolução.
10. Cosmogênese. Estudo das concepções sobre a origem do universo e seu desenvolvimento.
11. Astrologia. Estudo da concepção do universo como um sistema de seres vivos que interagem, que se aproxima da moderna teoria GAIA.
12. Filosofia da ciência. Estudo dos fundamentos filosóficos de toda ciência e da epistemologia subjacente a todo método científico.
13. Estética Metafísica. Estudo sobre os processos do caminho da beleza.


________________________________________________________
Siga a #NovaAcropole:
Site: https://www.acropole.org.br/
Instagram: https://www.instagram.com/novaacropol...
Facebook: https://www.facebook.com/novaacropole...
Twitter: https://twitter.com/novaacropolebr
Telegram: https://www.t.me/novaacropolebrasil"
